scotch	nastro adesivo	1.62e-06	2.9e-06
T-shirt	maglietta	5.5e-06	1.45e-05
metal detector	rilevatore di metalli	1.44e-06	9.13e-07
bestseller	libri di successo	9.12e-07	9.6e-05
understatement	eufemismo	6.61e-08	3.02e-06
apparatcik	funzionari	0.0	1.35e-05
casinò	casa da gioco	5.89e-06	0.000163
AIDS	sindrome da immunodeficienza acquisita	5.37e-06	1.59e-07
tabloid	quotidiano	1.2e-06	4.47e-05
bestseller	successi	9.12e-07	1.62e-05
impeachment	messa in stato d'accusa	1.38e-06	2.29e-05
manager	amministratore	3.16e-05	2e-05
routine	ordinaria amministrazione	1.07e-05	9.69e-06
piercing	fori	2.29e-06	6.76e-06
band	gruppo	4.47e-05	0.000372
cast	gli attori	1.32e-05	2.99e-05
microcomputer	mini elaboratore	7.41e-08	4.47e-07
puzzle	rompicapo	4.68e-06	9.12e-07
telemarketing	vendita telefonica	3.47e-07	7.62e-06
picnic	scampagnata	2.14e-06	4.79e-07
cyborg	androidi	1e-06	5.37e-07
biberon	poppatoi	1.02e-06	0.0
mobbing	molestia	9.77e-07	2.63e-06
toast	fette di pane tostato	1.7e-06	7.98e-07
outsider	sfavoriti	8.91e-07	1.26e-07
deficit	carenza	1.07e-05	1e-05
password	chiave d'accesso	1.58e-05	3.67e-05
stress	sforuo	2.4e-05	0.0
leader	capo	6.03e-05	0.000219
mail	posta elettronica	4.47e-05	1.7e-05
benefit	benefici	1.74e-06	2.51e-05
clou	nocciolo	1.05e-06	3.24e-06
cocktail	miscuglio	7.08e-06	2.19e-06
sprint	scatto	2.63e-06	9.77e-06
pallet	palette di carico	4.27e-07	1.08e-06
agribusiness	commercio agricolo	8.13e-08	8.16e-06
gossip	pettegolezzo	6.03e-06	6.92e-07
presidium	direzione	8.13e-08	9.55e-05
revival	reviviscenza	2.19e-06	8.32e-08
smart card	carte intelligenti	5.24e-06	1.18e-05
monitor	schermo	1.02e-05	3.02e-05
ufo	disco volante	4.57e-06	1.11e-05
autobus	corriera	2.88e-05	8.91e-07
video game	videogiochi	1.33e-05	1.82e-05
